Parent	Child	EdgeType
subsystem100	subsystem90	Child-Parent
subsystem101	subsystem81	Child-Parent
subsystem101	subsystem94	Child-Parent
subsystem102	subsystem86	Child-Parent
subsystem102	subsystem92	Child-Parent
subsystem103	subsystem95	Child-Parent
subsystem103	subsystem96	Child-Parent
subsystem104	subsystem90	Child-Parent
subsystem104	subsystem99	Child-Parent
subsystem105	subsystem83	Child-Parent
subsystem105	subsystem86	Child-Parent
subsystem110	subsystem106	Child-Parent
subsystem110	subsystem107	Child-Parent
subsystem111	subsystem106	Child-Parent
subsystem112	subsystem107	Child-Parent
subsystem112	subsystem108	Child-Parent
subsystem114	subsystem106	Child-Parent
subsystem114	subsystem107	Child-Parent
subsystem115	subsystem11	Child-Parent
subsystem115	subsystem15	Child-Parent
subsystem116	subsystem63	Child-Parent
subsystem116	subsystem64	Child-Parent
subsystem117	subsystem98	Child-Parent
subsystem117	subsystem105	Child-Parent
subsystem118	subsystem110	Child-Parent
subsystem118	subsystem111	Child-Parent
subsystem119	subsystem112	Child-Parent
subsystem119	subsystem114	Child-Parent
subsystem120	subsystem111	Child-Parent
subsystem120	subsystem114	Child-Parent
subsystem131	subsystem126	Child-Parent
subsystem132	subsystem127	Child-Parent
subsystem133	subsystem124	Child-Parent
subsystem136	subsystem125	Child-Parent
subsystem137	subsystem121	Child-Parent
subsystem137	subsystem134	Child-Parent
subsystem138	subsystem122	Child-Parent
subsystem138	subsystem133	Child-Parent
subsystem139	subsystem128	Child-Parent
subsystem139	subsystem132	Child-Parent
subsystem14	subsystem1	Child-Parent
subsystem140	subsystem122	Child-Parent
subsystem140	subsystem128	Child-Parent
subsystem141	subsystem123	Child-Parent
subsystem141	subsystem130	Child-Parent
subsystem142	subsystem129	Child-Parent
subsystem142	subsystem138	Child-Parent
subsystem143	subsystem131	Child-Parent
subsystem143	subsystem135	Child-Parent
subsystem143	subsystem139	Child-Parent
subsystem144	subsystem123	Child-Parent
subsystem144	subsystem130	Child-Parent
subsystem144	subsystem135	Child-Parent
subsystem145	subsystem131	Child-Parent
subsystem145	subsystem139	Child-Parent
subsystem146	subsystem123	Child-Parent
subsystem146	subsystem130	Child-Parent
subsystem146	subsystem131	Child-Parent
subsystem147	subsystem135	Child-Parent
subsystem147	subsystem139	Child-Parent
subsystem148	subsystem16	Child-Parent
subsystem148	subsystem30	Child-Parent
subsystem149	subsystem73	Child-Parent
subsystem149	subsystem74	Child-Parent
subsystem15	subsystem0	Child-Parent
subsystem150	subsystem97	Child-Parent
subsystem150	subsystem100	Child-Parent
subsystem151	subsystem137	Child-Parent
subsystem151	subsystem146	Child-Parent
subsystem152	subsystem141	Child-Parent
subsystem152	subsystem142	Child-Parent
subsystem153	subsystem143	Child-Parent
subsystem153	subsystem144	Child-Parent
subsystem154	subsystem145	Child-Parent
subsystem154	subsystem147	Child-Parent
subsystem155	subsystem72	Child-Parent
subsystem155	subsystem74	Child-Parent
subsystem158	subsystem113	Child-Parent
subsystem158	subsystem115	Child-Parent
subsystem163	subsystem159	Child-Parent
subsystem164	subsystem162	Child-Parent
subsystem165	subsystem158	Child-Parent
subsystem165	subsystem161	Child-Parent
subsystem166	subsystem156	Child-Parent
subsystem167	subsystem156	Child-Parent
subsystem168	subsystem167	Child-Parent
subsystem169	subsystem160	Child-Parent
subsystem169	subsystem164	Child-Parent
subsystem170	subsystem164	Child-Parent
subsystem170	subsystem165	Child-Parent
subsystem171	subsystem163	Child-Parent
subsystem171	subsystem166	Child-Parent
subsystem172	subsystem41	Child-Parent
subsystem172	subsystem93	Child-Parent
subsystem173	subsystem163	Child-Parent
subsystem174	subsystem166	Child-Parent
subsystem174	subsystem169	Child-Parent
subsystem175	subsystem166	Child-Parent
subsystem175	subsystem170	Child-Parent
subsystem177	subsystem101	Child-Parent
subsystem177	subsystem118	Child-Parent
subsystem178	subsystem168	Child-Parent
subsystem178	subsystem171	Child-Parent
subsystem181	subsystem176	Child-Parent
subsystem185	subsystem177	Child-Parent
subsystem185	subsystem180	Child-Parent
subsystem185	subsystem181	Child-Parent
subsystem186	subsystem183	Child-Parent
subsystem186	subsystem184	Child-Parent
subsystem187	subsystem177	Child-Parent
subsystem187	subsystem180	Child-Parent
subsystem187	subsystem181	Child-Parent
subsystem187	subsystem183	Child-Parent
subsystem188	subsystem177	Child-Parent
subsystem188	subsystem180	Child-Parent
subsystem189	subsystem181	Child-Parent
subsystem189	subsystem182	Child-Parent
subsystem190	subsystem27	Child-Parent
subsystem190	subsystem28	Child-Parent
subsystem191	subsystem33	Child-Parent
subsystem191	subsystem36	Child-Parent
subsystem192	subsystem34	Child-Parent
subsystem192	subsystem102	Child-Parent
subsystem193	subsystem109	Child-Parent
subsystem193	subsystem140	Child-Parent
subsystem194	subsystem116	Child-Parent
subsystem194	subsystem117	Child-Parent
subsystem195	subsystem172	Child-Parent
subsystem195	subsystem173	Child-Parent
subsystem196	subsystem185	Child-Parent
subsystem196	subsystem186	Child-Parent
subsystem197	subsystem173	Child-Parent
subsystem197	subsystem178	Child-Parent
subsystem198	subsystem109	Child-Parent
subsystem198	subsystem116	Child-Parent
subsystem198	subsystem117	Child-Parent
subsystem20	subsystem14	Child-Parent
subsystem200	subsystem75	Child-Parent
subsystem201	subsystem71	Child-Parent
subsystem201	subsystem148	Child-Parent
subsystem203	subsystem58	Child-Parent
subsystem203	subsystem201	Child-Parent
subsystem204	subsystem201	Child-Parent
subsystem205	subsystem58	Child-Parent
subsystem205	subsystem65	Child-Parent
subsystem206	subsystem202	Child-Parent
subsystem206	subsystem204	Child-Parent
subsystem207	subsystem204	Child-Parent
subsystem208	subsystem202	Child-Parent
subsystem208	subsystem203	Child-Parent
subsystem209	subsystem202	Child-Parent
subsystem209	subsystem205	Child-Parent
subsystem210	subsystem57	Child-Parent
subsystem210	subsystem76	Child-Parent
subsystem211	subsystem60	Child-Parent
subsystem211	subsystem119	Child-Parent
subsystem212	subsystem103	Child-Parent
subsystem212	subsystem153	Child-Parent
subsystem213	subsystem174	Child-Parent
subsystem213	subsystem196	Child-Parent
subsystem214	subsystem188	Child-Parent
subsystem214	subsystem192	Child-Parent
subsystem215	subsystem199	Child-Parent
subsystem215	subsystem208	Child-Parent
subsystem216	subsystem207	Child-Parent
subsystem216	subsystem208	Child-Parent
subsystem217	subsystem206	Child-Parent
subsystem217	subsystem208	Child-Parent
subsystem219	subsystem77	Child-Parent
