Parent	Child	EdgeType
subsystem158	subsystem32	Child-Parent
subsystem158	subsystem38	Child-Parent
subsystem159	subsystem63	Child-Parent
subsystem159	subsystem72	Child-Parent
subsystem160	subsystem66	Child-Parent
subsystem160	subsystem76	Child-Parent
subsystem161	subsystem19	Child-Parent
subsystem161	subsystem21	Child-Parent
subsystem161	subsystem23	Child-Parent
subsystem161	subsystem25	Child-Parent
subsystem161	subsystem33	Child-Parent
subsystem161	subsystem98	Child-Parent
subsystem164	subsystem10	Child-Parent
subsystem164	subsystem11	Child-Parent
subsystem164	subsystem14	Child-Parent
subsystem164	subsystem16	Child-Parent
subsystem196	subsystem28	Child-Parent
subsystem196	subsystem31	Child-Parent
subsystem197	subsystem83	Child-Parent
subsystem197	subsystem161	Child-Parent
subsystem198	subsystem65	Child-Parent
subsystem198	subsystem161	Child-Parent
subsystem207	subsystem42	Child-Parent
subsystem207	subsystem161	Child-Parent
subsystem208	subsystem160	Child-Parent
subsystem208	subsystem161	Child-Parent
subsystem209	subsystem73	Child-Parent
subsystem209	subsystem74	Child-Parent
subsystem211	subsystem76	Child-Parent
subsystem211	subsystem82	Child-Parent
subsystem211	subsystem160	Child-Parent
subsystem211	subsystem164	Child-Parent
subsystem213	subsystem42	Child-Parent
subsystem213	subsystem120	Child-Parent
subsystem215	subsystem39	Child-Parent
subsystem215	subsystem73	Child-Parent
subsystem216	subsystem42	Child-Parent
subsystem216	subsystem122	Child-Parent
subsystem239	subsystem3	Child-Parent
subsystem239	subsystem76	Child-Parent
subsystem239	subsystem164	Child-Parent
subsystem240	subsystem15	Child-Parent
subsystem240	subsystem161	Child-Parent
subsystem241	subsystem148	Child-Parent
subsystem241	subsystem164	Child-Parent
subsystem243	subsystem15	Child-Parent
subsystem243	subsystem34	Child-Parent
subsystem318	subsystem1	Child-Parent
subsystem318	subsystem7	Child-Parent
subsystem318	subsystem8	Child-Parent
subsystem318	subsystem22	Child-Parent
subsystem318	subsystem130	Child-Parent
subsystem318	subsystem138	Child-Parent
subsystem318	subsystem143	Child-Parent
subsystem318	subsystem157	Child-Parent
subsystem318	subsystem158	Child-Parent
subsystem318	subsystem161	Child-Parent
subsystem318	subsystem164	Child-Parent
subsystem318	subsystem196	Child-Parent
subsystem318	subsystem208	Child-Parent
subsystem318	subsystem211	Child-Parent
subsystem323	subsystem161	Child-Parent
subsystem323	subsystem217	Child-Parent
subsystem330	subsystem161	Child-Parent
subsystem370	subsystem207	Child-Parent
subsystem370	subsystem247	Child-Parent
subsystem432	subsystem2	Child-Parent
subsystem432	subsystem5	Child-Parent
subsystem432	subsystem9	Child-Parent
subsystem432	subsystem159	Child-Parent
subsystem432	subsystem195	Child-Parent
subsystem432	subsystem197	Child-Parent
subsystem432	subsystem198	Child-Parent
subsystem432	subsystem209	Child-Parent
subsystem432	subsystem211	Child-Parent
subsystem432	subsystem215	Child-Parent
subsystem432	subsystem216	Child-Parent
subsystem432	subsystem219	Child-Parent
subsystem432	subsystem239	Child-Parent
subsystem432	subsystem240	Child-Parent
subsystem432	subsystem241	Child-Parent
subsystem432	subsystem243	Child-Parent
subsystem432	subsystem247	Child-Parent
subsystem432	subsystem249	Child-Parent
subsystem432	subsystem318	Child-Parent
subsystem432	subsystem330	Child-Parent
subsystem743	subsystem6	Child-Parent
subsystem743	subsystem17	Child-Parent
subsystem743	subsystem82	Child-Parent
subsystem743	subsystem85	Child-Parent
subsystem743	subsystem161	Child-Parent
subsystem743	subsystem164	Child-Parent
subsystem743	subsystem211	Child-Parent
subsystem743	subsystem213	Child-Parent
subsystem743	subsystem318	Child-Parent
subsystem743	subsystem323	Child-Parent
subsystem743	subsystem370	Child-Parent
subsystem743	subsystem381	Child-Parent
subsystem743	subsystem432	Child-Parent
subsystem161	ABL1	Gene-Term
subsystem98	ABL1	Gene-Term
subsystem318	ACD	Gene-Term
subsystem318	ACTL6A	Gene-Term
subsystem318	ACTR5	Gene-Term
subsystem318	ACTR8	Gene-Term
subsystem211	ALKBH1	Gene-Term
subsystem10	ALKBH2	Gene-Term
subsystem10	ALKBH3	Gene-Term
subsystem432	AMN1	Gene-Term
subsystem164	ANKRD28	Gene-Term
subsystem164	ANKRD44	Gene-Term
subsystem138	ANKRD52	Gene-Term
subsystem143	ANKRD52	Gene-Term
subsystem15	APEX1	Gene-Term
subsystem15	APEX2	Gene-Term
subsystem432	APITD1	Gene-Term
subsystem211	APLF	Gene-Term
subsystem211	APTX	Gene-Term
subsystem318	ARID1A	Gene-Term
subsystem318	ARID1B	Gene-Term
subsystem318	ARID2	Gene-Term
subsystem743	ASF1A	Gene-Term
subsystem743	ASF1B	Gene-Term
subsystem743	ATF2	Gene-Term
subsystem161	ATM	Gene-Term
subsystem161	ATR	Gene-Term
subsystem120	ATRIP	Gene-Term
subsystem318	ATRX	Gene-Term
subsystem743	ATXN3	Gene-Term
subsystem743	BAP1	Gene-Term
subsystem432	BARD1	Gene-Term
subsystem318	BAZ1A	Gene-Term
subsystem743	BAZ1B	Gene-Term
subsystem743	BCAS2	Gene-Term
subsystem318	BLM	Gene-Term
subsystem161	BRCA1	Gene-Term
subsystem98	BRCA1	Gene-Term
subsystem432	BRCA2	Gene-Term
subsystem432	BRCC3	Gene-Term
subsystem247	BRD7	Gene-Term
subsystem432	BRE	Gene-Term
subsystem432	BRIP1	Gene-Term
subsystem743	BTG2	Gene-Term
subsystem432	CCDC98	Gene-Term
subsystem164	CCNA1	Gene-Term
subsystem432	CCNA2	Gene-Term
subsystem164	CCNB1	Gene-Term
subsystem432	CCNB2	Gene-Term
subsystem432	CCNB3	Gene-Term
subsystem161	CCND1	Gene-Term
subsystem161	CCND2	Gene-Term
subsystem161	CCND3	Gene-Term
subsystem83	CCNE1	Gene-Term
subsystem1	CCNH	Gene-Term
subsystem743	CCNO	Gene-Term
subsystem161	CDC25A	Gene-Term
subsystem2	CDC25B	Gene-Term
subsystem743	CDC5L	Gene-Term
subsystem161	CDK2	Gene-Term
subsystem85	CDK4	Gene-Term
