Parent	Child	EdgeType
S:452	S:446	Child-Parent
S:462	S:446	Child-Parent
S:471	S:459	Child-Parent
S:478	S:462	Child-Parent
S:478	S:463	Child-Parent
S:480	S:441	Child-Parent
S:480	S:449	Child-Parent
S:480	S:455	Child-Parent
S:480	S:456	Child-Parent
S:480	S:457	Child-Parent
S:480	S:471	Child-Parent
S:481	S:448	Child-Parent
S:483	S:437	Child-Parent
S:483	S:447	Child-Parent
S:483	S:452	Child-Parent
S:483	S:454	Child-Parent
S:483	S:464	Child-Parent
S:483	S:467	Child-Parent
S:485	S:455	Child-Parent
S:486	S:439	Child-Parent
S:486	S:445	Child-Parent
S:486	S:458	Child-Parent
S:486	S:470	Child-Parent
S:486	S:475	Child-Parent
S:486	S:477	Child-Parent
S:487	S:455	Child-Parent
S:488	S:438	Child-Parent
S:488	S:442	Child-Parent
S:488	S:443	Child-Parent
S:488	S:444	Child-Parent
S:488	S:460	Child-Parent
S:488	S:461	Child-Parent
S:488	S:468	Child-Parent
S:488	S:472	Child-Parent
S:488	S:473	Child-Parent
S:489	S:451	Child-Parent
S:489	S:466	Child-Parent
S:489	S:471	Child-Parent
S:489	S:485	Child-Parent
S:490	S:440	Child-Parent
S:491	S:445	Child-Parent
S:491	S:448	Child-Parent
S:491	S:458	Child-Parent
S:491	S:474	Child-Parent
S:491	S:479	Child-Parent
S:491	S:484	Child-Parent
S:491	S:487	Child-Parent
S:492	S:450	Child-Parent
S:492	S:453	Child-Parent
S:492	S:480	Child-Parent
S:492	S:486	Child-Parent
S:492	S:489	Child-Parent
S:493	S:453	Child-Parent
S:493	S:465	Child-Parent
S:493	S:469	Child-Parent
S:493	S:476	Child-Parent
S:493	S:478	Child-Parent
S:493	S:481	Child-Parent
S:493	S:482	Child-Parent
S:493	S:483	Child-Parent
S:493	S:488	Child-Parent
S:494	S:491	Child-Parent
S:494	S:492	Child-Parent
S:494	S:493	Child-Parent
S:495	S:490	Child-Parent
S:495	S:494	Child-Parent
S:481	0	Gene-Term
S:468	1	Gene-Term
S:474	10	Gene-Term
S:465	100	Gene-Term
S:487	101	Gene-Term
S:487	102	Gene-Term
S:487	103	Gene-Term
S:485	104	Gene-Term
S:485	105	Gene-Term
S:485	106	Gene-Term
S:485	107	Gene-Term
S:485	108	Gene-Term
S:485	109	Gene-Term
S:474	11	Gene-Term
S:485	110	Gene-Term
S:457	111	Gene-Term
S:474	112	Gene-Term
S:484	113	Gene-Term
S:484	114	Gene-Term
S:474	115	Gene-Term
S:484	116	Gene-Term
S:484	117	Gene-Term
S:484	118	Gene-Term
S:484	119	Gene-Term
S:439	12	Gene-Term
S:484	120	Gene-Term
S:484	121	Gene-Term
S:484	122	Gene-Term
S:484	123	Gene-Term
S:484	124	Gene-Term
S:484	125	Gene-Term
S:490	126	Gene-Term
S:470	127	Gene-Term
S:468	128	Gene-Term
S:477	128	Gene-Term
S:489	128	Gene-Term
S:468	129	Gene-Term
S:477	129	Gene-Term
S:489	129	Gene-Term
S:439	13	Gene-Term
S:481	130	Gene-Term
S:487	131	Gene-Term
S:467	132	Gene-Term
S:485	133	Gene-Term
S:485	134	Gene-Term
S:485	135	Gene-Term
S:485	136	Gene-Term
S:485	137	Gene-Term
S:487	138	Gene-Term
S:487	139	Gene-Term
S:484	139	Gene-Term
S:484	14	Gene-Term
S:484	140	Gene-Term
S:487	141	Gene-Term
S:490	142	Gene-Term
S:462	143	Gene-Term
S:457	144	Gene-Term
S:477	144	Gene-Term
S:477	145	Gene-Term
S:470	146	Gene-Term
S:460	146	Gene-Term
S:460	147	Gene-Term
S:490	148	Gene-Term
S:482	149	Gene-Term
S:479	15	Gene-Term
S:477	15	Gene-Term
S:482	150	Gene-Term
S:482	151	Gene-Term
S:482	152	Gene-Term
S:490	153	Gene-Term
S:468	154	Gene-Term
S:487	155	Gene-Term
S:484	155	Gene-Term
S:457	156	Gene-Term
S:458	156	Gene-Term
S:485	156	Gene-Term
S:470	156	Gene-Term
S:458	157	Gene-Term
S:445	157	Gene-Term
S:479	158	Gene-Term
S:463	159	Gene-Term
S:479	16	Gene-Term
S:477	16	Gene-Term
S:475	160	Gene-Term
S:482	161	Gene-Term
S:479	162	Gene-Term
S:488	162	Gene-Term
S:464	163	Gene-Term
S:469	163	Gene-Term
S:464	164	Gene-Term
S:490	165	Gene-Term
S:450	166	Gene-Term
S:456	167	Gene-Term
S:456	168	Gene-Term
S:490	169	Gene-Term
S:482	17	Gene-Term
S:443	170	Gene-Term
S:485	171	Gene-Term
S:475	172	Gene-Term
S:490	173	Gene-Term
S:448	174	Gene-Term
S:479	174	Gene-Term
S:449	175	Gene-Term
S:449	176	Gene-Term
S:441	177	Gene-Term
S:441	178	Gene-Term
S:449	179	Gene-Term
S:482	18	Gene-Term
S:490	180	Gene-Term
S:487	181	Gene-Term
S:475	182	Gene-Term
S:481	183	Gene-Term
S:490	184	Gene-Term
S:490	185	Gene-Term
S:490	186	Gene-Term
S:448	187	Gene-Term
S:487	187	Gene-Term
S:476	188	Gene-Term
S:476	189	Gene-Term
S:482	19	Gene-Term
S:476	190	Gene-Term
S:476	191	Gene-Term
S:476	192	Gene-Term
S:475	193	Gene-Term
S:475	194	Gene-Term
