Parent	Child	EdgeType
subsystem100	subsystem77	Child-Parent
subsystem100	subsystem78	Child-Parent
subsystem1000	subsystem979	Child-Parent
subsystem1000	subsystem993	Child-Parent
subsystem1001	subsystem980	Child-Parent
subsystem1001	subsystem995	Child-Parent
subsystem1001	subsystem998	Child-Parent
subsystem1002	subsystem994	Child-Parent
subsystem1002	subsystem999	Child-Parent
subsystem1003	subsystem980	Child-Parent
subsystem1003	subsystem995	Child-Parent
subsystem1004	subsystem996	Child-Parent
subsystem1004	subsystem998	Child-Parent
subsystem1005	subsystem980	Child-Parent
subsystem1005	subsystem998	Child-Parent
subsystem1006	subsystem995	Child-Parent
subsystem1006	subsystem996	Child-Parent
subsystem1007	subsystem995	Child-Parent
subsystem1007	subsystem996	Child-Parent
subsystem1007	subsystem998	Child-Parent
subsystem1008	subsystem979	Child-Parent
subsystem1008	subsystem980	Child-Parent
subsystem1008	subsystem993	Child-Parent
subsystem1009	subsystem995	Child-Parent
subsystem1009	subsystem998	Child-Parent
subsystem101	subsystem79	Child-Parent
subsystem101	subsystem93	Child-Parent
subsystem1010	subsystem987	Child-Parent
subsystem1010	subsystem1003	Child-Parent
subsystem1011	subsystem1006	Child-Parent
subsystem1011	subsystem1009	Child-Parent
subsystem1012	subsystem1001	Child-Parent
subsystem1012	subsystem1003	Child-Parent
subsystem1013	subsystem997	Child-Parent
subsystem1013	subsystem1004	Child-Parent
subsystem1013	subsystem1010	Child-Parent
subsystem1014	subsystem1002	Child-Parent
subsystem1014	subsystem1011	Child-Parent
subsystem1015	subsystem1008	Child-Parent
subsystem1015	subsystem1012	Child-Parent
subsystem1016	subsystem997	Child-Parent
subsystem1016	subsystem1002	Child-Parent
subsystem1016	subsystem1011	Child-Parent
subsystem1017	subsystem1004	Child-Parent
subsystem1017	subsystem1010	Child-Parent
subsystem1018	subsystem1000	Child-Parent
subsystem1018	subsystem1005	Child-Parent
subsystem1018	subsystem1013	Child-Parent
subsystem1018	subsystem1014	Child-Parent
subsystem1018	subsystem1015	Child-Parent
subsystem1018	subsystem1016	Child-Parent
subsystem1018	subsystem1017	Child-Parent
subsystem1019	subsystem898	Child-Parent
subsystem1019	subsystem989	Child-Parent
subsystem1019	subsystem1007	Child-Parent
subsystem1019	subsystem1018	Child-Parent
subsystem102	subsystem82	Child-Parent
subsystem102	subsystem93	Child-Parent
subsystem107	subsystem60	Child-Parent
subsystem107	subsystem61	Child-Parent
subsystem108	subsystem62	Child-Parent
subsystem108	subsystem63	Child-Parent
subsystem109	subsystem68	Child-Parent
subsystem109	subsystem70	Child-Parent
subsystem110	subsystem87	Child-Parent
subsystem110	subsystem88	Child-Parent
subsystem111	subsystem84	Child-Parent
subsystem111	subsystem87	Child-Parent
subsystem112	subsystem84	Child-Parent
subsystem112	subsystem85	Child-Parent
subsystem121	subsystem115	Child-Parent
subsystem122	subsystem75	Child-Parent
subsystem122	subsystem102	Child-Parent
subsystem123	subsystem105	Child-Parent
subsystem123	subsystem113	Child-Parent
subsystem124	subsystem112	Child-Parent
subsystem125	subsystem105	Child-Parent
subsystem126	subsystem112	Child-Parent
subsystem128	subsystem103	Child-Parent
subsystem129	subsystem126	Child-Parent
subsystem130	subsystem121	Child-Parent
subsystem131	subsystem114	Child-Parent
subsystem132	subsystem118	Child-Parent
subsystem133	subsystem104	Child-Parent
subsystem133	subsystem123	Child-Parent
subsystem134	subsystem119	Child-Parent
subsystem134	subsystem123	Child-Parent
subsystem135	subsystem119	Child-Parent
subsystem135	subsystem124	Child-Parent
subsystem136	subsystem118	Child-Parent
subsystem136	subsystem122	Child-Parent
subsystem137	subsystem125	Child-Parent
subsystem138	subsystem121	Child-Parent
subsystem141	subsystem48	Child-Parent
subsystem141	subsystem116	Child-Parent
subsystem142	subsystem100	Child-Parent
subsystem142	subsystem101	Child-Parent
subsystem143	subsystem128	Child-Parent
subsystem143	subsystem138	Child-Parent
subsystem144	subsystem136	Child-Parent
subsystem144	subsystem137	Child-Parent
subsystem145	subsystem134	Child-Parent
subsystem145	subsystem138	Child-Parent
subsystem146	subsystem127	Child-Parent
subsystem146	subsystem137	Child-Parent
subsystem147	subsystem135	Child-Parent
subsystem147	subsystem136	Child-Parent
subsystem148	subsystem94	Child-Parent
subsystem148	subsystem101	Child-Parent
subsystem150	subsystem139	Child-Parent
subsystem150	subsystem149	Child-Parent
subsystem151	subsystem0	Child-Parent
subsystem151	subsystem17	Child-Parent
subsystem152	subsystem2	Child-Parent
subsystem152	subsystem10	Child-Parent
subsystem153	subsystem3	Child-Parent
subsystem153	subsystem9	Child-Parent
subsystem154	subsystem67	Child-Parent
subsystem154	subsystem69	Child-Parent
subsystem155	subsystem95	Child-Parent
subsystem155	subsystem107	Child-Parent
subsystem156	subsystem117	Child-Parent
subsystem156	subsystem132	Child-Parent
subsystem157	subsystem139	Child-Parent
subsystem158	subsystem148	Child-Parent
subsystem158	subsystem149	Child-Parent
subsystem159	subsystem139	Child-Parent
subsystem159	subsystem149	Child-Parent
subsystem160	subsystem148	Child-Parent
subsystem161	subsystem139	Child-Parent
subsystem162	subsystem148	Child-Parent
subsystem162	subsystem149	Child-Parent
subsystem163	subsystem139	Child-Parent
subsystem163	subsystem149	Child-Parent
subsystem164	subsystem148	Child-Parent
subsystem165	subsystem139	Child-Parent
subsystem166	subsystem148	Child-Parent
subsystem166	subsystem149	Child-Parent
subsystem167	subsystem139	Child-Parent
subsystem167	subsystem149	Child-Parent
subsystem168	subsystem148	Child-Parent
subsystem169	subsystem139	Child-Parent
subsystem170	subsystem148	Child-Parent
subsystem170	subsystem149	Child-Parent
subsystem171	subsystem148	Child-Parent
subsystem172	subsystem139	Child-Parent
subsystem172	subsystem149	Child-Parent
