Parent	Child	EdgeType
subsystem100	subsystem75	Child-Parent
subsystem100	subsystem76	Child-Parent
subsystem1000	subsystem984	Child-Parent
subsystem1000	subsystem985	Child-Parent
subsystem1001	subsystem975	Child-Parent
subsystem1001	subsystem978	Child-Parent
subsystem1002	subsystem981	Child-Parent
subsystem1002	subsystem982	Child-Parent
subsystem1003	subsystem989	Child-Parent
subsystem1003	subsystem990	Child-Parent
subsystem1004	subsystem991	Child-Parent
subsystem1004	subsystem992	Child-Parent
subsystem1005	subsystem987	Child-Parent
subsystem1005	subsystem988	Child-Parent
subsystem1006	subsystem993	Child-Parent
subsystem1006	subsystem994	Child-Parent
subsystem1007	subsystem986	Child-Parent
subsystem1007	subsystem993	Child-Parent
subsystem1008	subsystem996	Child-Parent
subsystem1008	subsystem1004	Child-Parent
subsystem1009	subsystem999	Child-Parent
subsystem1009	subsystem1003	Child-Parent
subsystem101	subsystem76	Child-Parent
subsystem101	subsystem77	Child-Parent
subsystem1010	subsystem999	Child-Parent
subsystem1010	subsystem1006	Child-Parent
subsystem1011	subsystem997	Child-Parent
subsystem1011	subsystem1002	Child-Parent
subsystem1012	subsystem1001	Child-Parent
subsystem1012	subsystem1008	Child-Parent
subsystem1013	subsystem1005	Child-Parent
subsystem1013	subsystem1007	Child-Parent
subsystem1014	subsystem1001	Child-Parent
subsystem1014	subsystem1005	Child-Parent
subsystem1014	subsystem1007	Child-Parent
subsystem1015	subsystem998	Child-Parent
subsystem1015	subsystem1000	Child-Parent
subsystem1015	subsystem1013	Child-Parent
subsystem1016	subsystem1009	Child-Parent
subsystem1016	subsystem1011	Child-Parent
subsystem1017	subsystem998	Child-Parent
subsystem1017	subsystem1000	Child-Parent
subsystem1018	subsystem1013	Child-Parent
subsystem1018	subsystem1014	Child-Parent
subsystem1019	subsystem998	Child-Parent
subsystem1019	subsystem1013	Child-Parent
subsystem1020	subsystem1000	Child-Parent
subsystem1020	subsystem1014	Child-Parent
subsystem1021	subsystem1000	Child-Parent
subsystem1021	subsystem1013	Child-Parent
subsystem1021	subsystem1014	Child-Parent
subsystem1022	subsystem998	Child-Parent
subsystem1022	subsystem1009	Child-Parent
subsystem1022	subsystem1011	Child-Parent
subsystem1023	subsystem1000	Child-Parent
subsystem1023	subsystem1013	Child-Parent
subsystem1024	subsystem1010	Child-Parent
subsystem1024	subsystem1016	Child-Parent
subsystem1025	subsystem1012	Child-Parent
subsystem1025	subsystem1017	Child-Parent
subsystem1026	subsystem1018	Child-Parent
subsystem1026	subsystem1022	Child-Parent
subsystem1027	subsystem1019	Child-Parent
subsystem1027	subsystem1024	Child-Parent
subsystem1027	subsystem1025	Child-Parent
subsystem1027	subsystem1026	Child-Parent
subsystem1028	subsystem1020	Child-Parent
subsystem1028	subsystem1021	Child-Parent
subsystem1029	subsystem1015	Child-Parent
subsystem1029	subsystem1026	Child-Parent
subsystem1030	subsystem1019	Child-Parent
subsystem1030	subsystem1024	Child-Parent
subsystem1030	subsystem1025	Child-Parent
subsystem1031	subsystem1015	Child-Parent
subsystem1031	subsystem1025	Child-Parent
subsystem1032	subsystem1019	Child-Parent
subsystem1032	subsystem1024	Child-Parent
subsystem1032	subsystem1026	Child-Parent
subsystem1033	subsystem1015	Child-Parent
subsystem1033	subsystem1025	Child-Parent
